uknum,ukarea,ukelectors
"27","basildon","56793"
"28","basingstoke","60414"
"29","bassetlaw","61807"
"30","bath","62355"
"31","batley and spen","71206"
"32","battesea","71960"
"33","beaconsfield","62918"
"34","beckenham","59295"
"35","bedfordshire mid","68171"
"36","bedfordshire north","68202"
"37","bedfordshire south west","65921"
"38","belfast east","59207"
"39","belfast north","65723"
"40","belfast south","57938"
"41","belfast west","61179"
"42","berkshire east","66489"
"43","berwick upon tweed","51714"
"44","bethnal green and stepney","56702"
"45","beverley","70460"
"46","bexhill and battle","60409"
"47","bexleyheath","59076"
"48","billericay","64699"
"49","birkenhead","71226"
"50","birmingham edgbaston","56217"
"51","birmingham erdington","56789"
"52","birmingham hall green","60971"
"53","birmingham hodge hill","63137"
"54","birmingham ladywood","62594"
"55","birmingham northfield","75585"
"56","birmingham perry barr","76717"
"57","birmingham selly oak","70626"
"58","birmingham small heath","63644"
"59","birmingham sparkbrook","58136"
"60","birmingham yardley","60156"
"61","bishop auckland","68253"
"62","blaby","66874"
"63","blackburn","76628"
"64","blackpool north","59743"
"65","blackpool south","58196"
"66","blaenau gwent","56952"
"67","blaydon","63028"
"68","blyth valley","51785"
"69","bolsover","63695"
"70","bolton north east","59148"
"71","bolton south east","69926"
"72","bolton west","61631"
"73","boothferry","65984"
"74","bootle","76835"
"75","bosworth","66100"
"76","bournemouth east","68585"
"77","bournemouth west","69596"
"78","bow and poplar","56051"
"79","bradford north","64708"
"80","bradford south","67093"
"81","bradford west","70716"
"82","braintree","65141"
"83","brecon and radnor","46800"
"84","brent east","66289"
"85","brent north","63132"
"86","brent south","62244"
"87","brentford and isleworth","71192"
"88","brentwood and ongar","64612"
"89","bridgend","53154"
"90","bridgwater","61090"
"91","bridlington","70582"
"92","brigg and cleethorpes","72327"
"93","brighton kempton","61983"
"94","brighton pavilion","61414"
"95","bristol east","65076"
"96","bristol north west","71883"
"97","bristol south","74832"
"98","bristol west","78077"
"99","bromsgrove","57440"
"100","broxbourne","62039"
"101","broxtowe","65407"
"102","buckingham","55084"
"103","burnley","68423"
"104","burton","68976"
"105","bury north","65365"
"106","bury south","63494"
"107","bury st edmunds","64698"
"108","caernarfon","43893"
"109","caerphilly","63400"
"110","caithness and sutherland","30652"
"111","calder valley","69395"
"112","cambridge","66450"
"113","cambridgeshire north east","66767"
"114","cambridgeshire south east","60369"
"115","cambridgeshire south west","67030"
"116","cannock and burntwood","61468"
"117","canterbury","69350"
"118","cardiff central","55683"
"119","cardiff north","53467"
"120","cardiff south and penarth","60621"
"121","cardiff west","58859"
"122","carlisle","53457"
"123","carmarthen","63613"
"124","carrick cumnock and doone valley","55703"
"125","carshalton and wallington","67227"
"126","castle point","59018"
"127","ceredigion and pembroke north","59662"
"128","cheadle","61881"
"129","chelmsford","70739"
"130","chelsea","63069"
"1","aberavon","54129"
"2","aberdeen north","63074"
"3","aberdeen south","56531"
"4","aldershot","71519"
"5","aldridge brownhills","59098"
"6","altrincham and sale","65013"
"7","amber valley","64336"
"8","alyn and deeside","56443"
"9","angus east","58587"
"10","antrim east","58985"
"11","antrim north","62505"
"12","antrim south","57277"
"13","argyll and bute","47356"
"14","arundel","67340"
"15","ashfield","66566"
"16","ashford","59690"
"17","ashton under lyne","60272"
"18","aylesbury","61981"
"19","ayr","63894"
"20","banbury","58010"
"21","banff and buchan","58737"
"22","barking","55807"
"23","barnsley central","53305"
"24","barnsley east","52368"
"25","barnsley west and penistone","58564"
"26","barrow in furness","66699"
"313","hexham","52429"
"314","heywood and middleton","60325"
"315","high peak","63364"
"316","holborn and st pancras","71702"
"317","holland with boston","59455"
"318","honiton","66109"
"319","hornchurch","60626"
"320","hornsey and wood green","84401"
"321","horsham","67575"
"322","houghton and washington","63314"
"323","hove","68804"
"324","huddersfield","67860"
"325","hull east","67872"
"326","hull north","70199"
"327","hull west","66886"
"328","huntingdon","65457"
"329","hyndburn","61048"
"330","ilford north","60448"
"331","ilford south","60598"
"332","inverness nairn and lochaber","62884"
"333","ipswich","66664"
"334","isle of wight","88460"
"335","islington north","63559"
"336","islington south and finsbury","60345"
"337","islwyn","50372"
"338","jarrow","63355"
"131","cheltenham","74046"
"132","chertsey and walton","68905"
"133","chesham and amersham","65234"
"134","chester","63048"
"135","chesterfield","65638"
"136","chichester","72079"
"137","chingford","56592"
"138","chipping barnet","59381"
"139","chislehurst","54024"
"140","chorley","66356"
"141","christchurch","55868"
"142","cirencester and tewkesbury","73702"
"143","city of london and westminster south","75070"
"144","clackmannan","47699"
"145","clwyd north west","61618"
"146","clwyd south west","55703"
"147","clydebank and milngavie","49186"
"148","clydesdale","56890"
"149","colchester north","67989"
"150","colchester south and maldon","72464"
"151","colne valley","65649"
"152","congleton","59093"
"153","conway","51482"
"154","copeland","51805"
"155","corby","60525"
"156","cornwall north","61160"
"209","durham north west","61399"
"210","ealing acton","67462"
"211","ealing north","62322"
"212","ealing southall","72858"
"213","easington","66214"
"214","eastbourne","68952"
"215","east kilbride","61041"
"216","eastleigh","70021"
"217","east lothian","60567"
"218","eastwood","57615"
"219","eccles","68950"
"220","eddisbury","66661"
"221","edinburgh central","55712"
"222","edinburgh east","51184"
"223","edinburgh leith","60673"
"224","edinburgh pentlands","58035"
"225","edinburgh south","61164"
"226","edinburgh west","58356"
"227","edmonton","65812"
"228","ellesmere port and neston","64331"
"229","elmet","62686"
"230","eltham","54805"
"231","enfield north","68081"
"232","enfield southgate","66874"
"233","epping forest","66510"
"234","epsom and ewell","68657"
"235","erewash","70306"
"236","erith and crayford","54114"
"237","esher","61797"
"238","exeter","67943"
"239","falkirk east","50118"
"240","falkirk west","48355"
"241","falmouth and camborne","61888"
"242","fareham","64924"
"243","faversham","72872"
"244","feltham and heston","78810"
"245","fermanagh and south tyrone","66129"
"246","fife central","52606"
"247","fife north east","49058"
"248","finchley","57995"
"249","folkstone and hythe","65784"
"250","foyle","63486"
"251","fulham","58360"
"252","fylde","60868"
"253","gainsborough and horncastle","62545"
"254","galloway and upper nithsdale","50956"
"255","gateshead east","69942"
"256","gedling","64028"
"257","gillingham","65126"
"258","glanford and scunthorpe","61116"
"259","glasgow cathcart","52761"
"260","glasgow central","53273"
"157","cornwall south east","57848"
"158","coventry north east","67012"
"159","coventry north west","53226"
"160","coventry south east","53316"
"161","coventry south west","64493"
"162","crawley","61351"
"163","crewe and nantwich","65479"
"164","crosby","80213"
"165","croydon central","56410"
"166","croydon north east","64280"
"167","croydon north west","59392"
"168","croydon south","63025"
"169","cumberland and kilsyth","42556"
"170","cunninghame north","53286"
"171","cunninghame south","47226"
"172","cynon valley","51053"
"173","dagenham","64296"
"174","darlington","63474"
"175","dartford","68346"
"176","daventry","57165"
