uknum,party,ukvotes
"27","con","17516"
"27","lab","16137"
"27","sdp","11634"
"28","con","28381"
"28","lab","10646"
"28","sdp","15931"
"28","bnp","344"
"29","con","18400"
"29","lab","22231"
"29","sdp","8124"
"30","con","22544"
"30","lab","7259"
"30","sdp","17240"
"30","prog_lib","319"
"30","eco","441"
"30","world_govt","67"
"31","con","21433"
"31","lab","20563"
"31","sdp","11678"
"31","eco","493"
"32","con","15972"
"32","lab","19248"
"32","sdp","7675"
"32","nf","539"
"32","eco","377"
"32","cbwu","0"
"32","community","0"
"33","con","30552"
"33","lab","5107"
"33","lib","12252"
"34","con","23606"
"34","lab","6386"
"34","lib","10936"
"34","bnp","203"
"35","con","33042"
"35","lab","9420"
"35","lib","15661"
"36","con","27969"
"36","lab","11323"
"36","lib","14120"
"36","ind","344"
"37","con","31767"
"37","lab","16036"
"37","sdp","9899"
"38","oup","9642"
"38","dup","17631"
"38","alliance","9373"
"38","sf","682"
"39","oup","15339"
"39","dup","8260"
"39","sdlp","5944"
"39","alliance","3879"
"39","sf","5451"
"39","wp","2412"
"39","ind_dup","1134"
"40","oup","18669"
"40","dup","4565"
"40","sdlp","3216"
"40","alliance","8945"
"40","sf","1107"
"40","wp","856"
"41","oup","2435"
"41","dup","2399"
"41","sdlp","10934"
"41","sf","16379"
"41","wp","1893"
"41","ind","10326"
"42","con","33967"
"42","lab","7953"
"42","sdp","17868"
"43","con","13743"
"43","lab","5975"
"43","lib","21958"
"44","con","4323"
"44","lab","15740"
"44","lib","9382"
"44","nf","800"
"44","comm","243"
"44","yts","214"
"44","rap","136"
"45","con","31233"
"45","lab","6921"
"45","lib","17364"
"46","con","30329"
"46","lab","3587"
"46","lib","10583"
"46","eco","538"
"47","con","23411"
"47","lab","7560"
"47","lib","13153"
"48","con","29635"
"48","lab","10528"
"48","lib","15020"
"49","con","13535"
"49","lab","23249"
"49","lib","9782"
"49","eco","337"
"50","con","19585"
"50","lab","7647"
"50","sdp","8167"
"50","eco","516"
"50","ind_con","293"
"50","other","266"
"51","con","14699"
"51","lab","14930"
"51","sdp","7915"
"52","con","21142"
"52","lab","11769"
"52","lib","10175"
"53","con","14600"
"53","lab","19692"
"53","lib","6557"
"53","nf","529"
"54","con","10248"
"54","lab","19278"
"54","lib","7758"
"54","workers_rev","198"
"54","sdbp","335"
"55","con","22596"
"55","lab","19836"
"55","lib","10045"
"55","comm","420"
"56","con","19659"
"56","lab","27061"
"56","lib","4773"
"57","con","23008"
"57","lab","17612"
"57","sdp","10613"
"58","con","7262"
"58","lab","22874"
"58","sdp","5722"
"59","con","9209"
"59","lab","19757"
"59","sdp","3416"
"59","rev_comm","305"
"59","ind","281"
"60","con","17986"
"60","lab","15141"
"60","sdp","8109"
"60","nf","415"
"61","con","18444"
"61","lab","22750"
"61","lib","10070"
"62","con","32689"
"62","lab","6838"
"62","lib","15573"
"62","nf","568"
"63","con","22345"
"63","lab","25406"
"63","sdp","8174"
"63","nf","864"
"64","con","20592"
"64","lab","8730"
"64","lib","10440"
"64","nf","514"
"65","con","19852"
"65","lab","9714"
"65","sdp","9417"
"65","nf","263"
"66","con","4816"
"66","lab","30113"
"66","lib","6488"
"66","plaid","1624"
"67","con","14063"
"67","lab","21285"
"67","sdp","12607"
"68","con","11657"
"68","lab","16583"
"68","sdp","13340"
"68","ind","406"
"69","con","12666"
"69","lab","26514"
"69","sdp","7886"
"70","con","19632"
"70","lab","17189"
"70","sdp","8311"
"70","bnp","186"
"70","ind","104"
"71","con","15231"
"71","lab","23984"
"71","lib","10157"
"71","pr","296"
"72","con","23731"
"72","lab","16579"
"72","sdp","12321"
"73","con","30536"
"73","lab","9271"
"73","lib","13116"
"74","con","12143"
"74","lab","27282"
"74","sdp","12068"
"75","con","31663"
"75","lab","11120"
"75","sdp","14369"
"76","con","25176"
"76","lab","4026"
"76","lib","13760"
"76","eco","273"
"76","lm","225"
"76","ind_con","3644"
"77","con","28466"
"77","lab","6243"
"77","lib","15135"
"77","bnp","180"
"78","con","5129"
"78","lab","15878"
"78","lib","10017"
"78","nf","596"
"78","workers_rev","117"
"78","ind_lab","266"
"79","con","16094"
"79","lab","14492"
"79","sdp","11962"
"79","ind_lab","4018"
"79","bnp","193"
"79","loony_soc","194"
"80","con","18432"
"80","lab","18542"
"80","sdp","12143"
"80","eco","308"
"81","con","16162"
"81","lab","19499"
"81","sdp","13301"
"81","workers_rev","139"
"82","con","29462"
"82","lab","10551"
"82","sdp","16021"
"83","con","18255"
"83","lab","9471"
"83","lib","9226"
"83","plaid","640"
"83","ind","278"
"84","con","13529"
"84","lab","18363"
"84","sdp","6598"
"84","workers_rev","222"
"84","inp","289"
"84","ind","88"
"85","con","24842"
"85","lab","10191"
"85","sdp","9082"
"86","con","10740"
"86","lab","21259"
"86","lib","7557"
"86","eth_min","356"
"87","con","24515"
"87","lab","15128"
"87","sdp","11438"
